functional_zone_id,area_id,poi_ids
75,113,"636,183330,183331,183332,183360,183363,183366,183367,183369,183375,183398,183399,183402,183403,183404,183405,183406,183408,183414,183415,183428,183432,183445,184439,184442,186027,186028,186029,186030,186031,186033,186034,186037,186038,186040,186042,186044,186046,186048,186050,186052,186054,186059,186065,186067,186069,186072,186998,187006,187007,187008,187259,187260,187262,187264,187265,187269,187271,187273,187275,187276,187278,188205,188206,188207,188208,188210,188211,188215,188216,188218,188220,188221,188223,188224,188225,188226,188229,188230,188231,188232,188234,188235,188236,188237,188238,188239,188240,188241,188244,188245,188246,188247,188248,188249,188250,188252,188253,188254,188257,188259,188261,188262,188684,188685,188688,188689,188690,188691,188696,188703,188705,188802,188804,188805,188806,188807,188809,188810,188811,188812,188813,188814,188815,188816,188817,188818,188819,188820,188821,188822,188823,188824,188825,188826,188827,188828,188829,188830,188831,188832,188833,188834,188835,188836,188837,188838,188841,188843,188845,188846,188847,188848,188849,188850,188851,188852,188853,188854,188855,188856,188857,188860,188861,188862,188863,188864,188866,188867,188868,188869,188870,188871,188872,188873,188874,188875,188876,188877,188878,188879,188880,188881,188882,188883,188884,188885,188886,188887,188888,188889,188890,188891,188892,188893,205651,205655,205656,205702,205704,322034,322035,322038,322040,322041,322043,322045,322046,322048,322051,322056,322058,322060,322062,322063,322064,322066,322067,322073,322076,322078,322080,322082,322083,322087,322089,322091,322092,322093,322095,322096,322097,322098,322099,322100,322101,322102,322103,322104,322105,322106,322107,322108,322109,322110,322111,322112,322113,322114,322115,322116,322117,322118,322119,322120,322121,322122,322123,322124,322125,322126,322127,322128,322129,322130,322131,322132,322133,322134,322135,322136,322137,322138,322139,322140,322141,322142,322143,322144,322145,322146,322147,322148,322149,502097,502098,502099,502100,502101,502102,502103,502104,502105,502106,502107,502108,502109,502110,502111,502112,502113,502114,502115,502116,502117,502118,502119,502120,502121,502122,502123,502124,502125,502126,502127,502128,502129,502130,502131,502132,502133,502134,502135,502136,502137,502138,502139,502140,502141,502142,502143,502144,502145,502146,502147,502148,502149,502150,502151,502152,502153,502154,502155,502156,502157,502158,502159,502160,502161,502162,502166,502167,502168,502169,502170,502171,502172,502173,502174,502175,502176,502177,502178,502179,502180,502181,502182,502183,502184,502185,502186,502187,502188,502189,502191,502192,502193,502194,502195,502196,502197,502199,502200,502201,502202,502204,502206,502207,502208,502209,502210,502211,502212,502213,502214,502216,502217,502218,502219,502220,502221,502222,502223,502224,502225,502226,502229,502232,502233,502236,502237,502238,502239,502240,502243,579510,579511,579512,579513,579514,579516,579517,579520,579522,579523,579524,579525,579526,579528,579529,1076757,1190237,1190247,1190253,186980,186986,188865,579515,1190279"
76,113,"635,184435,502095,502096,188227,188803,203700"
77,113,"502190,188251,1077316,183354,183361,183376,183430,183436,183450,184436,184437,184438,184440,184441,184443,186973,186975,186983,186984,186985,186987,186988,186989,186990,186991,186993,186994,186995,186999,187000,187003,187005,188844,205622,205623,205624,205626,205627,205628,205629,205630,205631,205632,205634,205636,205640,205644,205645,205647,205652,205654,205659,205660,205663,205664,205671,205672,205674,205675,205677,205678,205684,205685,205686,205687,205689,205690,205692,205694,205696,205697,205699,205701,205703,205706,205711,205712,502198,502203,579519,579521,1075184,188701,1077693,1137332,1137333,1142832,1142833,1142834"
78,113,"186064,183368,183409,183412,183413,186060,186062,188209,188242,188692,188698,188702,203754,579518,579527"
79,113,"183355,183359,183362,183365,183378,183380,183431,183442,183451,186071,188212,188213,188214,188217,188219,188222,188228,188243,188255,188256,188693,188694,188695,188697,188699,188704,188842,502215,502241,502244,579530,579532,1190248,1190249"
80,113,"183364,186057,1075497"
81,113,"188808,322057,1111108"
82,230,"663,673,674,610742,627800,627830,627845,627858,627893,699578,610778,627657,627864,627867,627872,627896,628045,628046,628053,628054,628080"
83,230,"627865,627744,627796"
84,230,"58,59,165,399,401,453,456,487,488,489,661,667,675,610768,627670,627771,627784,627807,627817,627818,627860,627862,628043,628061,628096,665,627799,627812,610741"
85,230,"60,668,627844,628055"
86,230,"664,627601,627648,627732,627733,627734,627735,627736,627737,627739,627760,627761,627762,627763,627764,627765,627766,627769,627770,627785,627786,627803,627819,627840,627869,628040,628044,457,627651,627667,627773,627841,627850,628103"
87,230,"627753,628067,610744,610745"
88,246,"681,619255,620300,622995,623024,623187,763814,1072210,1072231,1072247,1072249,1072250,1072324,1073700,1183886,1187692,618577,1077506,1187694"
89,246,"619264,623171,618602"
90,246,"620297,623001,623007,699589,1187693"
91,246,"620251,620322,620334,1072251,1073792,1076500,1173687,1187665,1187690,620294,623133,1076499"
92,246,"1072248,1077701,1152757,1187666,1187671,1187676,1187759,1187761"
93,246,"699588,1187669,1187670,1187688,1187691"
94,246,"620212,620295,699585,1187689"
95,246,"1107935,1107936,1107937,1107938,1107939,1107940,1107941,1107942,1107943,1107944,1107945,1107946"
96,150,"850,288813,288815,288817,288819,294617,294626,294701,294725,294731,294761,294767,294785,295851,295855,296078,296112,303522,303528,303545,303570,303573,303575,303576,303584,303589,303591,303593,303605,303607,303608,303610,303611,303612,303745,303747,303748,303750,303752,303754,303756,303758,303763,303764,303766,303767,303769,303771,303772,303783,303784,303785,303787,303788,303789,303790,303791,303792,303793,303798,303801,303802,303805,303806,303810,303818,303819,303820,303821,303822,303823,303825,303828,303833,303834,303835,303839,303840,303841,303842,304517,304522,304577,304592,304623,304624,304626,304627,304669,304670,304671,304717,304720,304732,304749,304752,304757,304762,304765,304777,304779,304781,304792,304822,304871,304873,304874,304875,304876,304877,304878,304904,304905,304906,304907,304908,304928,304945,304960,304967,1079461,1160749,1174413,304910,1190336,294551,294554,294557,294580,294589,294612,294638,294644,294663,294686,294687,294702,294721,294722,294745,294749,294753,294756,294759,294760,294762,294766,294770,294771,294772,294773,294774,294775,294777,294779,294782,294783,294822,294831,294943,294944,294947,294950,294951,294953,294956,294957,295849,295852,295856,295858,295861,295866,295867,295870,295876,295877,295878,295881,295886,295887,295892,295894,295898,295899,295902,295904,295906,295913,295914,295919,295922,295928,295931,295932,295935,295940,295944,295946,295951,295953,295955,295957,295958,295962,295966,295970,295972,295974,295978,295979,295984,295996,295999,296001,296004,296011,296015,296016,296023,296024,296025,296026,296030,296035,296036,296037,296042,296045,296046,296051,296057,296058,296061,296062,296066,296069,296071,296075,296076,296077,296079,296080,296082,296084,296085,296088,296095,296097,296100,296102,296104,296105,296108,296109,296111,296116,296120,296121,296124,296125,296126,296145,296182,296204,296227,296239,296295,296302,296308,296311,296313,299664,299665,299668,299670,299678,299849,299850,299911,299943,299951,301851,301856,301857,301859,301863,301864,301866,301867,301868,301869,301871,301873,301875,301876,301877,301878,301881,301882,301883,301885,301886,301888,301890,301891,301893,301894,301895,301897,301898,301899,301901,301902,301905,301906,301907,301909,301912,301913,301915,301916,301917,301920,301921,301922,301923,301924,301928,301929,301930,301931,301935,301936,301943,301944,301945,301948,301949,301950,301952,301956,301959,301960,301961,301966,301967,301968,301972,301973,301974,301977,301980,301983,301984,301985,301989,301990,301991,301992,301993,301995,301996,301997,302000,302001,302004,302006,302007,302008,302009,302010,302012,302013,302017,302018,302019,302022,302023,302027,302028,302029,302031,302034,302035,302036,302037,302038,302042,302043,302044,302047,302048,302050,302051,302054,302055,302058,302059,302060,302061,302062,302065,302066,302067,302068,302069,302070,302071,302076,302077,302078,302079,302080,302083,302084,302086,302088,302089,302093,302094,302095,302096,302099,302100,302103,302104,302105,302107,302108,302109,302110,302114,302115,302120,302121,302122,302123,302124,302125,302126,302127,302131,302132,302135,302136,302137,302140,302141,302144,302145,302148,302149,302154,302155,302157,302158,302159,302162,302163,302164,302165,302168,302169,302170,302171,302172,302174,302177,302182,302183,302184,302185,302190,302194,302195,302196,302199,302206,302207,302209,302210,302211,302216,302217,302220,302221,302254,302314,302343,302348,302354,302355,302356,302358,302359,303566,303606,303816,303836,303837,303838,304631,304634,304637,304640,304644,304648,304652,304657,304659,304699,304707,304721,304733,304738,304823,304888,304890,304895,304898,304901,304932,304968,294584,294588,301975,301976"
97,150,"300627,300630,300633,300639,300641,300646,300651,300664,300668,300675,300680,300682,300685,302208,302214,302332,295847,296107,302178,302215,1190332,854,1078308"
98,150,"294946,299952,302025,289154,300648,300657,300662,300673,303796,303797,303799,303803,303807,303809"
99,150,"303560,303588,303736,303762,303786,303817,304911"
100,150,"294959,302218,303580,303601,303749,303773,303811,303812,303813,303814,303815,303824,303826,303827,303829,303830,303831,304510,304511,304512,304513,304515,304520"
101,150,"294929,299846,1313"
102,150,"787,788,789,790,791,792,793,794,795,843,847,851,852,853,855,856,1290,1291,1292,1293,1294,1295,1296,1297,1298,1299,1300,1301,1302,1303,1078327,1160173,1160174,1160175"
103,238,"956,637320,637786,637944,638044,638046,638050,638058,638093,638095,638480,638494,638505,638591,638606,638694,638697,638798,638877,638903,638961,1191025,638445"
104,238,"638103,638457,638475,638738,638922,638458,637521,637536,637668,637982,638666,638744"
105,238,"637635,637831,638587,638734,638854,637628,637830,637862,638748"
106,238,"638762,638763,638946"
107,55,"1212,1242,1334,1347,23216,29061,29062,263611,263613,266362,271424,271430,271432,271437,271439,271442,271445,271450,271454,271461,271590,271619,271622,271623,271624,271625,271665,271666,271667,271675,271676,271677,271678,271679,271680,271681,271682,271923,271924,271925,271926,271927,271928,271929,271930,271931,271933,271948,271949,271950,272320,272336,272338,272339,272340,272345,272663,272671,272689,272691,272692,272694,272706,273216,273217,273218,273219,273220,273869,273880,274507,274509,274511,274531,274540,274545,274553,274667,274671,274678,274680,274681,275967,275972,275974,275978,275981,275988,275989,275990,275991,276008,276012,276897,276900,276902,277192,277221,277222,277234,277612,277623,277625,277710,277711,280214,280216,280217,280219,280220,280221,280223,280225,280228,280240,280241,280243,280257,280260,280262,280263,280264,280265,280266,280267,280268,280269,280280,280291,280309,280329,280340,280342,280349,280358,280365,280367,280371,280374,280375,280390,280392,280393,280396,280400,280401,280404,280405,280414,280506,280595,280603,280613,280620,280627,280632,280642,280653,280708,280712,280731,280786,280795,280796,280798,280803,280805,280818,280825,281875,281877,281878,281880,281881,281882,281888,281889,281890,281891,282837,282838,282844,283835,284272,284273,284317,1071982,1078314,1078333,1081244,1081245,1082786,1102993,1148485,1160738,1188712,1190161,263596,263598,263601,263605,263615,263851,271596,273607,273609,337802,337803,337804,337805,337806,337807,337808,337809,337810,337811,337831,337837,337839,337851,337855,337856,337857,337864,337870,337874,337877,337881,337885,263620,263909,263917,263942,280215,280218,280366,280372,280427,280436,280474,280481,280498,280505,1162643,1162644"
108,55,"280655,273868,763,1243,1328,1329,1343,1344,1355,35529,35530,35531,35533,35534,35535,35536,35537,35538,1076167,1076863,1077004,1077005,1077006,1077322,1077324,1077897,1078250,1078251,1078252,1078253,1078254,1078306,1078313,1078315,1078321,1078322,1078487,1078488,1078504,1082785,1082789,1091511,1092416,1092417,1092418,1092419,1094616,1152151,1152152,1160741,1160744,1160745,1160746,1160835,1166511,1170347,1183832,1183912,1183956"
109,55,"29060,29065,29066,280649,281879,272321,281884,281885,281887,273614,273883,274668,274669,277632,277720,280471,280600,280744"
110,55,"1078511,1078247,281874,272337,274488,274670,275966,275982,277201,1164891,1183913,1183920,1183921,1183922,1183923,1183924"
111,55,"275961,275999,282843,337822,1076177,1076179,1077628,1077715,1081243,1187203,1187204,1160747,6447,272670,272701,273879,273886,273887,273889,273890,273891,274490,274499,274503,274522,274675,274676,274682,274683,275962,275968,276001,276009,277717,280206,280208,280210,280213,280235,280239,280394,280648,280658,280688,280692,280738,280741,280750,280754,280766,280778,280779,280793,280814,280816,280824,280828,283834,283836,337800,337801,337820,1076166,1076172,1076173,1076178,1076181,1076182,1076183,1077714,1079039,1106608,1136638,1183186"
112,55,"35532,280489,1085895,1183743,337821,1076509,1076510,1160917,1160918,1160922,1160924,29064,263931,273882,273884,276002,276004,280651,280663,280696,280723,280725,280728,280755,280783,280799,284318,337824,337825,337842,338505,627674,1071984,1074459,1081674,1151542,1183914,1183915,1183916,1183917,1183918,1183919,1186892,1187201,271359,276005,280703,280789,281892,281893,281894,1142836,1142837,272703,275994,276914,1074457"
113,55,"236,271357,271358,271417,271589,275969,277616,277667,277676,277709,277718,277722,280211,280227,280229,280231,280234,280237,280244,280248,280252,280258,280276,280278,280286,280293,280294,280299,280301,280305,280314,280332,280336,280369,280373,280384,280387,280388,280397,280403,280665,280666,280667,280668,280669,280670,280671,280672,280673,280674,280675,280676,280677,280678,280679,280680,280681,280682,280683,280684,280685,280689,280701,280713,280717,280721,280746,280753,280760,280763,280767,280773,280774,280780,280809,280810,280820,280821,280823,280829,280830,337823,1174000,1183744,1183745,271620,274644,274685,280654,280659,280660"
114,55,"15733,271668,280512,280604,280687,281886,1190291,1190295,1190308,1190311,280279,78,79,627354,627385,1081241,1174412"
115,55,"271685,280697,280736,280745,280751,280802,280807,282840,337834,339289,1160737"
116,55,"275960,280707,627673"
117,55,"275987,276003,276011,280254,280770,280781,280813,337818,337819,1074460,1076170,1076174,1076176,1076184,1186889,1186890,1186891"
118,123,"1307,196862,196901,326665,326793,326819,326827,326828,326831,326832,326833,326834,326835,326836,326837,326838,326839,326850,326851,326862,326870,326871,326881,326885,326907,327102,327984,332178,332189,332191,332198,332205,332208,332218,332219,332224,332226,332236,332237,332241,332243,332245,332255,332256,332261,332263,332292,332301,332306,332312,332334,332345,332355,332357,332363,332381,332413,332425,332434,332440,332451,332455,332460,332464,332466,332470,332480,332486,332491,332533,332535,332536,332555,332557,332563,332566,332570,332572,332576,332581,332587,332597,332601,332607,332611,332628,332688,332693,332765,332774,332789,332804,332817,333261,333283,333289,333293,333295,333297,333298,333299,333301,333303,333305,333308,333312,333316,333320,333325,333326,333331,333333,333338,333342,333345,333346,333351,333356,333357,333359,333363,333365,333369,333373,333377,333378,333383,333386,333392,333397,333403,333405,333410,333422,333424,333427,333431,333441,333447,333451,333466,333467,333519,333536,333554,333555,333562,335968,336663,336665,336666,336667,336668,336671,336672,336674,336675,336676,336678,336679,336680,336682,336683,336684,336685,336686,336687,336688,336690,336691,336692,336693,336695,336696,336698,336699,336700,336701,336703,336705,336707,336708,336710,336712,336713,336714,336715,336718,336721,336723,336724,336725,336728,336730,336732,336734,336736,336739,336741,336744,336749,336752,336758,336771,336774,336778,336779,336787,336790,336795,336796,336801,336804,336807,336809,336817,336830,336911,336936,336938,337059,355498,355499,376783,376784,376785,377022,420422,420423,420424,420425,420426,420429,420430,420431,420432,420433,420434,420435,420436,420437,420438,420532,420890,420891,420892,420893,420894,421075,421233,421394,421395,421396,421397,421398,421399,421400,421401,421402,421403,421404,421405,421406,421407,421419,421443,421455,421484,421563,421566,421570,421572,421576,421579,421582,421586,421829,421830,421831,421832,421833,421836,422150,422151,422154,422155,422156,422157,422158,422159,422211,1065551,1065552,1065553,1065554,1065555,1065557,1065558,1065559,1065562,1065563,1065564,1065565,1065575,1065581,1065585,1065587,1065665,1065681,1065710,1065720,1065724,1065728,1065732,1173682,1173683,1186696,1186697,326662,326663,326664,326667,326668,326670,326672,327709,420886,421021,421029,421081,421087,421153,421157,421163,421168,421172,421176,421179,421182,421226,421230,421421,421422,421423,421537,326658,326659,326661,326671,326785,326811,326830,326934,327839,332182,332201,332202,332212,332272,332285,332297,332316,332322,332328,332359,332368,332375,332383,332386,332391,332396,332398,332401,332411,332417,332431,332443,332447,332487,332547,332791,333318,333328,333391,333399,333415,333419,333420,333423,333429,333468,336032,336081,336089,336669,336762,337065,420887,420888,421408,421409,421410,421411,421412,421413,421414,421415,421416,421417,421424,421425,421426,421427,421428,421429,421430,421431,421432,421433,421434,421435,421436,421437,421438,421439,421440,421441,421442"
119,123,"332696,1183,1186,1217,1223,1224,1078862,1184430,1186599"
120,123,"196929,196930,336939,355543,377021,421231,435333,420889,333477,336661,376585,420647,420961,421088,421540"
121,123,"420648,196966,326732,326735,326739,326822,326876,327986,332539,332561,332591,332593,332815,376782,376786,376920,376972,377728,377759,420428,420439,420440,420441,420595,420610,421420,421826,421827,421828,421837,422148,422152,422153,422222,422224,435708,1065661,1065662,1065663,1065664"
122,123,"332230,332275,332290,332314,332336,333343,1103011,1111919,421839,1160796,1161353,421215,376151,422257"
123,123,"196933,376779,376781,377752,420427,196918,196920,196973,326669,326727,326729,326730,326731,326736,326737,326791,326815,332549,333547,336909,337051,376788,377751,420065,420421,421085,421418,421444,421445,421536,421834,421835,421975,1065660,1065666,1065667,1065668,1065669,1065670,1065671,1065672,1065673,1065674,1065675,1065676,1065685,1065693,1065729,1065742,1161348,1173681"
124,123,"333478,376452,377020,420501,420646,420649,421134,421446,421838,421989,422511,435190,435705,421990,72,1185,1191,627383"
