road_id,KG_id,Region_id
Road/190990,63095,55
Road/190988,63096,226
Road/190987,63097,201
Road/190986,63098,117
Road/190985,63099,201
Road/190984,63100,201
Road/190983,63101,16
Road/190981,63102,166
Road/190980,63103,166
Road/190978,63104,121
Road/190977,63105,152
Road/190976,63106,214
Road/190975,63107,214
Road/190973,63108,176
Road/190972,63109,176
Road/190970,63110,129
Road/190968,63111,61
Road/190967,63112,61
Road/190965,63113,72
Road/190964,63114,79
Road/190963,63115,148
Road/190959,63116,95
Road/190958,63117,97
Road/190957,63118,76
Road/190956,63119,76
Road/190954,63120,76
Road/190952,63121,244
Road/190950,63122,244
Road/190947,63123,249
Road/190945,63124,140
Road/190943,63125,142
Road/190941,63126,244
Road/190939,63127,244
Road/190937,63128,66
Road/190932,63129,208
Road/190929,63130,75
Road/190924,63131,209
Road/190919,63132,148
Road/190918,63133,134
Road/190916,63134,241
Road/190909,63135,169
Road/190908,63136,169
Road/190899,63137,169
Road/190898,63138,169
Road/190897,63139,169
Road/190896,63140,69
Road/190893,63141,66
Road/190888,63142,247
Road/190886,63143,6
Road/190885,63144,6
Road/190884,63145,93
Road/190883,63146,234
Road/190881,63147,102
Road/190880,63148,126
Road/190879,63149,126
Road/190878,63150,112
Road/190877,63151,36
Road/190876,63152,36
Road/190875,63153,39
Road/190874,63154,39
Road/190873,63155,29
Road/190872,63156,68
Road/190871,63157,142
Road/190870,63158,101
Road/190869,63159,244
Road/190868,63160,237
Road/190866,63161,170
Road/190865,63162,170
Road/190864,63163,229
Road/190861,63164,140
Road/190858,63165,206
Road/190856,63166,206
Road/190855,63167,206
Road/190854,63168,18
Road/190853,63169,25
Road/190851,63170,181
Road/190850,63171,107
Road/190848,63172,156
Road/190846,63173,148
Road/190845,63174,214
Road/190844,63175,176
Road/190843,63176,110
Road/190840,63177,176
Road/190839,63178,23
Road/190838,63179,226
Road/190837,63180,119
Road/190836,63181,129
Road/190834,63182,33
Road/190831,63183,244
Road/190824,63184,70
Road/190820,63185,66
Road/190816,63186,6
Road/190812,63187,140
Road/190811,63188,246
Road/190810,63189,246
Road/190807,63190,239
Road/190806,63191,151
Road/190805,63192,239
Road/190804,63193,238
Road/190803,63194,238
Road/190802,63195,238
Road/190801,63196,50
Road/190800,63197,223
Road/190799,63198,74
Road/190797,63199,235
Road/190794,63200,20
Road/190792,63201,231
Road/190791,63202,125
Road/190787,63203,148
Road/190786,63204,148
Road/190785,63205,148
Road/190784,63206,4
Road/190781,63207,55
Road/190780,63208,41
Road/190779,63209,254
Road/190778,63210,219
Road/190776,63211,154
Road/190775,63212,154
Road/190769,63213,95
Road/190767,63214,95
Road/190766,63215,222
Road/190765,63216,192
Road/190762,63217,135
Road/190761,63218,135
Road/190759,63219,135
Road/190754,63220,135
Road/190752,63221,214
Road/190751,63222,25
Road/190750,63223,176
Road/190749,63224,176
Road/190748,63225,176
Road/190747,63226,176
Road/190746,63227,176
Road/190745,63228,9
Road/190744,63229,16
Road/190743,63230,9
Road/190742,63231,16
Road/190741,63232,16
Road/190740,63233,9
Road/190739,63234,9
Road/190738,63235,16
Road/190737,63236,9
Road/190736,63237,175
Road/190735,63238,175
Road/190734,63239,175
Road/190731,63240,175
Road/190729,63241,98
Road/190728,63242,15
Road/190727,63243,15
Road/190726,63244,15
Road/190725,63245,15
Road/190724,63246,28
Road/190723,63247,121
Road/190722,63248,135
Road/190721,63249,25
Road/190720,63250,33
Road/190719,63251,33
Road/190716,63252,61
Road/190715,63253,61
Road/190714,63254,205
Road/190707,63255,246
Road/190706,63256,48
Road/190705,63257,74
Road/190704,63258,161
Road/190702,63259,2
Road/190701,63260,74
Road/190699,63261,74
Road/190698,63262,74
Road/190697,63263,223
Road/190696,63264,230
Road/190695,63265,100
Road/190694,63266,53
Road/190693,63267,53
Road/190692,63268,30
Road/190690,63269,15
Road/190689,63270,15
Road/190688,63271,15
Road/190687,63272,15
Road/190686,63273,68
Road/190685,63274,233
Road/190684,63275,170
Road/190683,63276,233
Road/190682,63277,233
Road/190681,63278,235
Road/190680,63279,119
Road/190678,63280,119
Road/190677,63281,119
Road/190676,63282,119
Road/190675,63283,69
Road/190674,63284,239
Road/190673,63285,69
Road/190672,63286,42
Road/190671,63287,247
Road/190670,63288,42
Road/190669,63289,42
Road/190668,63290,249
Road/190667,63291,48
Road/190666,63292,48
Road/190665,63293,48
Road/190664,63294,142
Road/190663,63295,45
Road/190662,63296,49
Road/190660,63297,75
Road/190659,63298,75
Road/190658,63299,95
Road/190657,63300,95
Road/190656,63301,134
Road/190655,63302,95
Road/190654,63303,95
Road/190653,63304,95
Road/190652,63305,75
Road/190650,63306,256
Road/190649,63307,217
Road/190647,63308,256
Road/190646,63309,256
Road/190645,63310,240
Road/190643,63311,241
Road/190642,63312,240
Road/190641,63313,240
Road/190640,63314,196
Road/190639,63315,196
Road/190638,63316,196
Road/190637,63317,126
Road/190635,63318,41
Road/190634,63319,41
Road/190633,63320,41
Road/190632,63321,41
Road/190631,63322,42
Road/190630,63323,41
Road/190629,63324,41
Road/190628,63325,41
Road/190627,63326,41
Road/190626,63327,126
Road/190625,63328,189
Road/190623,63329,168
Road/190622,63330,170
Road/190620,63331,137
Road/190619,63332,137
Road/190618,63333,170
Road/190617,63334,74
Road/190616,63335,240
Road/190600,63336,219
Road/190599,63337,231
Road/190598,63338,231
Road/190597,63339,125
Road/190596,63340,228
Road/190595,63341,229
Road/190594,63342,23
Road/190588,63343,23
Road/190587,63344,23
Road/190586,63345,23
Road/190585,63346,23
Road/190578,63347,80
Road/190577,63348,80
Road/190576,63349,80
Road/190575,63350,55
Road/190574,63351,55
Road/190572,63352,21
Road/190570,63353,55
Road/190566,63354,221
Road/190564,63355,238
Road/190563,63356,238
Road/190561,63357,6
Road/190559,63358,6
Road/190558,63359,6
Road/190557,63360,118
Road/190555,63361,164
Road/190554,63362,107
Road/190553,63363,107
Road/190552,63364,79
Road/190551,63365,79
Road/190550,63366,107
Road/190549,63367,107
Road/190548,63368,107
Road/190547,63369,107
Road/190546,63370,6
Road/190545,63371,221
Road/190544,63372,6
Road/190543,63373,6
Road/190542,63374,221
Road/190541,63375,221
Road/190540,63376,221
Road/190539,63377,42
Road/190538,63378,42
Road/190537,63379,42
Road/190536,63380,42
Road/190535,63381,42
Road/190534,63382,250
Road/190532,63383,214
Road/190530,63384,214
Road/190529,63385,214
Road/190527,63386,181
Road/190525,63387,99
Road/190522,63388,37
Road/190517,63389,65
Road/190516,63390,112
Road/190515,63391,112
Road/190514,63392,112
Road/190513,63393,112
Road/190512,63394,112
Road/190511,63395,112
Road/190510,63396,112
Road/190509,63397,255
Road/190508,63398,139
Road/190507,63399,205
Road/190506,63400,139
Road/190505,63401,51
Road/190504,63402,51
Road/190503,63403,51
Road/190502,63404,51
Road/190501,63405,51
Road/190500,63406,51
Road/190499,63407,219
Road/190498,63408,219
Road/190497,63409,175
Road/190496,63410,175
Road/190495,63411,175
Road/190494,63412,175
Road/190493,63413,175
Road/190492,63414,175
Road/190491,63415,175
Road/190490,63416,254
Road/190489,63417,219
Road/190488,63418,219
Road/190487,63419,219
Road/190486,63420,205
Road/190485,63421,10
Road/190484,63422,218
Road/190483,63423,131
Road/190482,63424,205
Road/190479,63425,180
Road/190478,63426,203
Road/190477,63427,203
Road/190474,63428,5
Road/190473,63429,5
Road/190472,63430,139
Road/190471,63431,98
Road/190470,63432,131
Road/190469,63433,131
Road/190468,63434,131
Road/190467,63435,131
Road/190466,63436,131
Road/190465,63437,216
Road/190462,63438,205
Road/190460,63439,205
Road/190459,63440,205
Road/190458,63441,38
Road/190456,63442,228
Road/190455,63443,228
Road/190454,63444,228
Road/190453,63445,228
Road/190452,63446,14
Road/190451,63447,154
Road/190450,63448,158
Road/190449,63449,154
Road/190445,63450,97
Road/190444,63451,214
Road/190443,63452,214
Road/190442,63453,172
Road/190441,63454,84
Road/190436,63455,197
Road/190435,63456,197
Road/190434,63457,197
Road/190433,63458,197
Road/190432,63459,197
Road/190431,63460,197
Road/190423,63461,110
Road/190422,63462,39
Road/190421,63463,39
Road/190420,63464,84
Road/190419,63465,84
Road/190418,63466,112
Road/190417,63467,112
Road/190400,63468,144
Road/190394,63469,19
Road/190393,63470,19
Road/190392,63471,19
Road/190391,63472,19
Road/190390,63473,19
Road/190389,63474,19
Road/190388,63475,19
Road/190387,63476,19
Road/190386,63477,19
Road/190384,63478,155
Road/190382,63479,148
Road/190381,63480,148
Road/190379,63481,117
Road/190377,63482,117
Road/190376,63483,117
Road/190375,63484,155
Road/190374,63485,155
Road/190373,63486,155
Road/190367,63487,114
Road/190366,63488,114
Road/190365,63489,79
Road/190364,63490,148
Road/190363,63491,79
Road/190362,63492,148
Road/190361,63493,19
Road/190360,63494,19
Road/190358,63495,19
Road/190357,63496,101
Road/190356,63497,101
Road/190351,63498,109
Road/190350,63499,109
Road/190349,63500,109
Road/190339,63501,195
Road/190338,63502,181
Road/190337,63503,181
Road/190336,63504,181
Road/190335,63505,181
Road/190333,63506,181
Road/190332,63507,106
Road/190330,63508,138
Road/190329,63509,129
Road/190328,63510,76
Road/190326,63511,63
Road/190324,63512,63
Road/190323,63513,76
Road/190322,63514,76
Road/190321,63515,192
Road/190319,63516,222
Road/190318,63517,222
Road/190317,63518,222
Road/190316,63519,222
Road/190315,63520,222
Road/190314,63521,76
Road/190312,63522,76
Road/190311,63523,76
Road/190310,63524,76
Road/190308,63525,222
Road/190307,63526,76
Road/190305,63527,222
Road/190304,63528,76
Road/190303,63529,222
Road/190302,63530,76
Road/190294,63531,98
Road/190293,63532,98
Road/190290,63533,101
Road/190284,63534,172
Road/190283,63535,172
Road/190282,63536,19
Road/190280,63537,15
Road/190279,63538,15
Road/190278,63539,15
Road/190277,63540,15
Road/190276,63541,134
Road/190275,63542,134
Road/190274,63543,9
Road/190273,63544,9
Road/190272,63545,15
Road/190271,63546,16
Road/190270,63547,16
Road/190269,63548,15
Road/190268,63549,172
Road/190267,63550,9
Road/190266,63551,98
Road/190265,63552,121
Road/190264,63553,121
Road/190262,63554,39
Road/190258,63555,191
Road/190256,63556,19
Road/190255,63557,191
Road/190253,63558,19
Road/190252,63559,19
Road/190250,63560,19
Road/190248,63561,19
Road/190247,63562,19
Road/190246,63563,19
Road/190245,63564,19
Road/190244,63565,19
Road/190243,63566,19
Road/190242,63567,191
Road/190240,63568,61
Road/190238,63569,226
Road/190237,63570,44
Road/190235,63571,44
Road/190233,63572,44
Road/190232,63573,44
Road/190230,63574,83
Road/190229,63575,61
Road/190228,63576,61
Road/190227,63577,44
Road/190226,63578,235
Road/190225,63579,93
Road/190223,63580,135
Road/190222,63581,135
Road/190221,63582,135
Road/190220,63583,135
Road/190219,63584,135
Road/190218,63585,135
Road/190217,63586,135
Road/190216,63587,135
Road/190215,63588,219
Road/190214,63589,218
Road/190211,63590,139
Road/190210,63591,139
Road/190209,63592,139
Road/190208,63593,139
Road/190207,63594,139
Road/190206,63595,139
Road/190205,63596,139
Road/190204,63597,205
Road/190203,63598,139
Road/190202,63599,205
Road/190201,63600,139
Road/190200,63601,139
Road/190199,63602,139
Road/190198,63603,205
Road/190197,63604,139
Road/190196,63605,139
Road/190195,63606,139
Road/190194,63607,139
Road/190193,63608,205
Road/190192,63609,56
Road/190191,63610,179
Road/190190,63611,130
Road/190189,63612,130
Road/190188,63613,130
Road/190186,63614,72
Road/190185,63615,177
Road/190183,63616,61
Road/190182,63617,61
Road/190180,63618,61
Road/190179,63619,61
Road/190177,63620,146
Road/190176,63621,205
Road/190175,63622,205
Road/190172,63623,44
Road/190170,63624,177
Road/190168,63625,70
Road/190167,63626,70
Road/190166,63627,70
Road/190165,63628,228
Road/190164,63629,9
Road/190163,63630,9
Road/190162,63631,231
Road/190161,63632,231
Road/190160,63633,125
Road/190159,63634,226
Road/190156,63635,230
Road/190155,63636,208
Road/190153,63637,148
Road/190152,63638,164
Road/190151,63639,202
Road/190147,63640,137
Road/190145,63641,233
Road/190144,63642,233
Road/190141,63643,107
Road/190139,63644,252
Road/190138,63645,252
Road/190137,63646,252
Road/190136,63647,252
Road/190135,63648,229
Road/190134,63649,140
Road/190133,63650,140
Road/190132,63651,140
Road/190131,63652,141
Road/190130,63653,229
Road/190129,63654,6
Road/190124,63655,53
Road/190123,63656,252
Road/190122,63657,223
Road/190121,63658,223
Road/190120,63659,223
Road/190119,63660,223
Road/190117,63661,223
Road/190108,63662,42
Road/190107,63663,183
Road/190105,63664,162
Road/190104,63665,168
Road/190102,63666,19
Road/190101,63667,191
Road/190099,63668,117
Road/190098,63669,93
Road/190097,63670,179
Road/190096,63671,233
Road/190095,63672,60
Road/190092,63673,19
Road/190091,63674,75
Road/190090,63675,93
Road/190089,63676,93
Road/190086,63677,6
Road/190085,63678,6
Road/190084,63679,6
Road/190083,63680,246
Road/190082,63681,37
Road/190081,63682,139
Road/190074,63683,246
Road/190073,63684,140
Road/190072,63685,140
Road/190065,63686,31
Road/190063,63687,31
Road/190056,63688,82
Road/190043,63689,42
Road/190042,63690,42
Road/190041,63691,42
Road/190040,63692,120
Road/190034,63694,157
Road/190030,63695,112
Road/190029,63696,208
Road/190027,63697,31
Road/190022,63698,68
Road/190021,63699,68
Road/190017,63700,197
Road/190016,63701,49
Road/190015,63702,129
Road/190012,63703,19
Road/190008,63704,44
Road/190007,63705,44
Road/190006,63706,198
Road/190000,63707,156
Road/189999,63708,187
Road/189996,63709,99
Road/189993,63710,120
Road/189989,63711,126
Road/189987,63712,116
Road/189982,63713,69
Road/189976,63714,208
Road/189974,63715,135
Road/189972,63716,191
Road/189965,63717,28
Road/189964,63718,210
Road/189963,63719,56
Road/189962,63720,39
Road/189961,63721,56
Road/189960,63722,71
Road/189958,63723,80
Road/189957,63724,71
Road/189955,63725,72
Road/189954,63726,39
Road/189953,63727,39
Road/189951,63728,70
Road/189950,63729,89
Road/189949,63730,89
Road/189947,63731,172
Road/189946,63732,214
Road/189945,63733,214
Road/189944,63734,129
Road/189942,63735,95
Road/189941,63736,95
Road/189937,63737,175
Road/189936,63738,19
Road/189935,63739,183
Road/189933,63740,95
Road/189932,63741,171
Road/189931,63742,171
Road/189930,63743,196
Road/189927,63744,124
Road/189926,63745,214
Road/189925,63746,28
Road/189922,63747,39
Road/189921,63748,39
Road/189920,63749,197
Road/189918,63750,212
Road/189916,63751,129
Road/189915,63752,48
Road/189908,63753,31
Road/189905,63754,31
Road/189901,63755,31
Road/189898,63756,31
Road/189896,63757,31
Road/189895,63758,31
Road/189894,63759,2
Road/189890,63760,102
Road/189882,63761,135
Road/189881,63762,135
Road/189879,63763,135
Road/189878,63764,50
Road/189877,63765,135
Road/189876,63766,135
Road/189875,63767,175
Road/189872,63768,82
Road/189871,63769,44
Road/189870,63770,44
Road/189869,63771,82
Road/189868,63772,138
Road/189867,63773,109
Road/189866,63774,109
Road/189861,63775,44
Road/189857,63776,26
Road/189853,63777,84
Road/189852,63778,84
Road/189851,63779,84
Road/189850,63780,84
Road/189848,63781,84
Road/189845,63782,191
Road/189842,63783,64
Road/189838,63784,204
Road/189836,63785,204
Road/189835,63786,86
Road/189830,63787,76
Road/189829,63788,256
Road/189828,63789,70
Road/189826,63790,145
Road/189824,63791,24
Road/189823,63792,247
Road/189822,63793,69
Road/189819,63794,69
Road/189807,63795,240
Road/189805,63796,67
Road/189799,63797,108
Road/189787,63798,201
Road/189786,63799,117
Road/189784,63800,96
Road/189783,63801,93
Road/189782,63802,192
Road/189780,63803,135
Road/189779,63804,93
Road/189778,63805,191
Road/189776,63806,48
Road/189773,63807,238
Road/189770,63808,247
Road/189765,63809,202
Road/189763,63810,206
Road/189759,63811,55
Road/189757,63812,55
Road/189756,63813,51
Road/189755,63814,20
Road/189754,63815,51
Road/189751,63816,241
Road/189750,63817,246
Road/189749,63818,200
Road/189748,63819,119
Road/189746,63820,214
Road/189745,63821,118
Road/189742,63822,6
Road/189740,63823,176
Road/189738,63824,82
Road/189734,63825,228
Road/189733,63826,228
Road/189731,63827,33
Road/189729,63828,80
Road/189728,63829,55
Road/189727,63830,49
Road/189726,63831,256
Road/189725,63832,226
Road/189724,63833,80
Road/189721,63834,256
Road/189720,63835,65
Road/189717,63836,39
Road/189716,63837,61
Road/189715,63838,61
Road/189714,63839,177
Road/189713,63840,228
Road/189711,63841,155
Road/189710,63842,85
Road/189709,63843,39
Road/189708,63844,150
Road/189706,63845,86
Road/189705,63846,86
Road/189703,63847,145
Road/189702,63848,203
Road/189701,63849,139
Road/189699,63850,252
Road/189698,63851,51
Road/189697,63852,51
Road/189695,63853,130
Road/189693,63854,55
Road/189690,63855,145
Road/189689,63856,201
Road/189687,63857,64
Road/189686,63858,130
Road/189685,63859,9
Road/189683,63860,205
Road/189681,63861,205
Road/189680,63862,9
Road/189679,63863,16
Road/189678,63864,16
Road/189677,63865,117
Road/189676,63866,135
Road/189675,63867,26
Road/189673,63868,26
Road/189671,63869,89
Road/189669,63870,89
Road/189667,63871,150
Road/189666,63872,55
Road/189665,63873,124
Road/189663,63874,203
Road/189658,63875,191
Road/189655,63876,117
Road/189654,63877,201
Road/189648,63878,210
Road/189647,63879,154
Road/189644,63880,42
Road/189642,63881,74
Road/189632,63882,226
Road/189630,63883,157
Road/189629,63884,82
Road/189628,63885,255
Road/189626,63886,129
Road/189625,63887,196
Road/189624,63888,141
Road/189623,63889,145
Road/189622,63890,141
Road/189621,63891,129
Road/189619,63892,151
Road/189618,63893,148
Road/189616,63894,100
Road/189615,63895,113
Road/189614,63896,161
Road/189612,63897,74
Road/189609,63898,74
Road/189606,63899,74
Road/189605,63900,142
Road/189604,63901,68
Road/189603,63902,48
Road/189602,63903,68
Road/189601,63904,137
Road/189600,63905,246
Road/189599,63906,231
Road/189598,63907,4
Road/189597,63908,230
Road/189596,63909,169
Road/189594,63910,169
Road/189588,63911,169
Road/189587,63912,169
Road/189576,63913,19
Road/189574,63914,19
Road/189572,63915,70
Road/189571,63916,123
Road/189565,63917,181
Road/189563,63918,76
Road/189561,63919,93
Road/189558,63920,93
Road/189557,63921,28
Road/189555,63922,28
Road/189550,63923,194
Road/189548,63924,221
Road/189547,63925,221
Road/189545,63926,6
Road/189538,63927,23
Road/189535,63928,221
Road/189534,63929,251
Road/189533,63930,6
Road/189532,63931,23
Road/189530,63932,23
Road/189525,63933,115
Road/189505,63934,156
Road/189504,63935,118
Road/189502,63936,23
Road/189500,63937,23
Road/189493,63938,6
Road/189488,63939,6
Road/189485,63940,33
Road/189484,63941,83
Road/189483,63942,160
Road/189482,63943,16
Road/189481,63944,155
Road/189480,63945,251
Road/189477,63946,118
Road/189475,63947,66
Road/189474,63948,169
Road/189473,63949,169
Road/189471,63950,169
Road/189465,63951,251
Road/189464,63952,191
Road/189461,63953,39
Road/189460,63954,39
Road/189457,63955,168
Road/189450,63956,102
Road/189449,63957,148
Road/189445,63958,127
Road/189443,63959,243
Road/189441,63960,27
Road/189431,63961,107
Road/189426,63962,47
Road/189421,63963,130
Road/189419,63964,204
Road/189414,63965,118
Road/189413,63966,239
Road/189411,63967,239
Road/189409,63968,200
Road/189407,63969,240
Road/189406,63970,240
